risorsa,url,title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,latitude,longitude,href
24562133978,https://farm5.staticflickr.com/4532/24562133978_6f60813c8a_o.jpg,Palermo - Corso calatafimi,"dr. Trenkler Co., Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,237,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (237),CC BY SA 4.0,"Palermo, corso Calatafimi, piazza Indipendenza, albergo delle povere",Palermo,38.111835,13.351650,https://www.flickr.com/photos/biblioteca-comunale-palermo/24562133978
24562171198,https://farm5.staticflickr.com/4577/24562171198_ef119d00d1_o.jpg,Palermo - Corso Calatafimi,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,238,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (238),CC BY SA 4.0,"Palermo, corso Calatafimi, tram",Palermo,38.111092,13.349869,https://www.flickr.com/photos/biblioteca-comunale-palermo/24562171198
24581695538,https://farm5.staticflickr.com/4581/24581695538_956d3e0659_o.jpg,Palermo - via Macqueda,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,244,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (244),CC BY SA 4.0,"Palermo, via Macqueda, via Maqueda, piazza Verdi,",Palermo,38.121390,13.357315,https://www.flickr.com/photos/biblioteca-comunale-palermo/24581695538
24581934608,https://farm5.staticflickr.com/4559/24581934608_2937727909_o.jpg,Palermo - via Ruggero Settimo,"Devaux, Paris","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,247,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (247),CC BY SA 4.0,"Palermo, via Ruggero Settimo, piazza Castelnuovo, Politeama",Palermo,38.123956,13.356049,https://www.flickr.com/photos/biblioteca-comunale-palermo/24581934608
24663686398,https://farm5.staticflickr.com/4573/24663686398_c7925309aa_o.jpg,Piazza Vigliena,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,159,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (159),CC BY SA 4.0,"Piazza Vigliena, Quattro Canti, Quattro Cantoni, Palermo",Palermo,38.115726,13.361413,https://www.flickr.com/photos/biblioteca-comunale-palermo/24663686398
24664911248,https://farm5.staticflickr.com/4563/24664911248_6a624c2194_o.jpg,Palermo - La gran Fontana di Piazza Pretoria,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,165,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (165),CC BY SA 4.0,"Piazza Pretoria, Piazza della Vergona, Palermo",Palermo,38.115415,13.362078,https://www.flickr.com/photos/biblioteca-comunale-palermo/24664911248
24722842768,https://farm5.staticflickr.com/4518/24722842768_14dd9e1027_o.jpg,Piazza S. Anna,"Dr. Trenkler Co, Lipsia","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,193,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (193),CC BY SA 4.0,"Piazza S. Anna, Palermo",Palermo,38.115169,13.365104,https://www.flickr.com/photos/biblioteca-comunale-palermo/24722842768
24723531748,https://farm5.staticflickr.com/4583/24723531748_55e6634808_o.jpg,Palermo - via Matteo Bonello,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,264,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (264),CC BY SA 4.0,"Palermo, via Matteo Bonello, cattedrale",Palermo,38.113810,13.355684,https://www.flickr.com/photos/biblioteca-comunale-palermo/24723531748
24723722448,https://farm5.staticflickr.com/4531/24723722448_8eacc15a08_o.jpg,Palermo - Palermo - viale Libertà,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,266,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (266),CC BY SA 4.0,"Palermo, via della Libertà, via Libertà, viale Libertà, Politeama, piazza Castelnuovo",Palermo,38.124581,13.355748,https://www.flickr.com/photos/biblioteca-comunale-palermo/24723722448
24803009958,https://farm5.staticflickr.com/4530/24803009958_e5d9634121_o.jpg,Palermo - Piazza Marina - Giardino Garibaldi e fontana del Garraffo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,201,pp. 418. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VI (201),CC BY SA 4.0,"Piazza Marina, Giardino Garibaldi, Palermo",Palermo,38.117965,13.368000,https://www.flickr.com/photos/biblioteca-comunale-palermo/24803009958
