title,editor,author,contributor,shelfmark,page,place of publishing,year of publishing,issuance,identifier,licence,geographic place,city,risorsa
Palermo – Collezione Chiaramonte Bordonaro – Testa d'Apostolo (Rubens),"G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,188,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (188),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896022995
"Palermo – Collezione Chiaramonte Bordonaro – La Deposizione (Hans Holbein, il vecchio)","G. Pedone Lauriel, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,187,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (187),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,42896023155
Palermo – Teatro Massimo,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,252,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (252),CC BY SA 4.0,"Teatro Massimo, piazza Verdi, Palermo",Palermo,42994724225
Palermo – Villino Imbornone , ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,221,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (221),CC BY SA 4.0,"Villino Imbornone, Via Villafranca, Palermo",Palermo,43036191175
Palermo – Villa Salerno, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,223,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (223),CC BY SA 4.0,"Villa Salerno, Palermo",Palermo,43036447685
Palermo – Villa Tasca,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,238,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (238),CC BY SA 4.0,"Villa Tasca, Palermo",Palermo,43037353275
Palermo – Villa Tasca,,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,245,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (245),CC BY SA 4.0,"Villa Tasca, Palermo",Palermo,43037542055
Palermo – Villa Florio – Agave, ,"Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,184,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (184),CC BY SA 4.0,"Villino Florio, Palermo",Palermo,43062257164
Palermo – Villa Bordonaro,"G. Valdes, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,185,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (185),CC BY SA 4.0,"Villa Bordonaro, Palermo",Palermo,43062285684
Palermo – Civiletti (La Tragedia),"A. Vaccaro Cangelosi, Palermo","Di Benedetto, Enrico",Collezione del Fondo Di Benedetto,Biblioteca comunale di Palermo - Sezione manoscritti e rari,282,pp. 401. E. Di Benedetto: Palermo - varia XIX – XX secolo,,collezione,VII (281),CC BY SA 4.0,"Teatro Massimo, piazza verdi, Palermo",Palermo,43101999215
